Ingredients,Description,Categories,Fragrances,Rating
"1, 2-Hexanediol",A preservative belonging to a class of agents known as higher molecular glycols. ,Preservatives ,N/A,Good
10-Hydroxydecanoic Acid,A synthetic ingredient that functions as a skin-conditioning and occlusive agent. ,Emollients ,N/A,Good
4-T-butylcyclohexanol,A synthetic fatty alcohol that functions as an emollient and soothing agent...,"Emollients, Skin-Soothing ",N/A,Good
Acacia farnesiana extract,A fragrant extract from a type of acacia tree. There is no research showing it to have any benefit... ,Plant Extracts,Synthetic and Fragrant Plant Extracts ,Poor
acacia senegal gum,"Herb that can have skin soothing properties, but is used primarily as a thickening agent. ","Texture Enhancer, Plant Extracts, Skin-Soothing ",N/A,Good
acai,"Pronounced ""ah-sigh-ee"", this small berry with a deep purple color is a source of... ","Antioxidants, Plant Extracts ",N/A,Best
acerola fruit extract,"Acerola contains vitamin C. However, the dry acerola fruit and powder are unlikely to be a good... ",Plant Extracts ,N/A,Good
acetic acid,"Acid found in vinegar, some fruits, and human sweat. It can be sensitizing to skin... ",Sensitizing ,N/A,Poor
acetone,Strong solvent that is used in Nail Polish removers. ,Sensitizing ,N/A,Poor
acetylated castor oil,Used as an emollient and thickening agent in cosmetics. ,"Texture Enhancer, Emollients ",N/A,Good
acetylated hydrogenated cottonseed glyceride,Used as an emollient and thickening agent in cosmetics. ,"Texture Enhancer, Emollients ",N/A,Good
acetylated lanolin,Emollient derived from lanolin. ,Emollients ,N/A,Good
acetylated lanolin alcohol,An ester of lanolin alcohol uses as an emollient and occlusive agent. An ester is a compound formed... ,Emollients ,N/A,Good
acetylated palm kernel glycerides,Used as an emollient and thickening agent in cosmetics. ,"Texture Enhancer, Emollients ",N/A,Good
acetyl carnitine HCL,None,Antioxidants ,N/A,Best
acetyl glucosamine,Amino acid sugar and primary constituent of mucopolysaccharides and hyaluronic acid. ,Skin-Replenishing ,N/A,Best
acetyl glyceryl ricinoleate,Used as an emollient and thickening agent in cosmetics. ,"Texture Enhancer, Emollients ",N/A,Good
acetyl hexapeptide-8,"Acetyl hexapeptide-8 is a synthetically-derived peptide that, like all peptides, has water-binding properties and skin-restoring ability. ",Skin-Restoring ,N/A,Good
acetyl octapeptide-3,"A synthetic peptide that is based around octapeptide-3, a peptide complex composed of the amino acids aspartic acid, glutamic acid, glutamine, and methionine... ",Skin-Restoring ,N/A,Good
acetyl tributyl citrate,"Related to citric acid and used as a plasticizer, most commonly in nail polish and nail-hardening... ",Film-Forming/Holding Agents ,N/A,Average
acetyl tyrosine,An amino acid complex that functions as a skin-conditioning agent. There is no research proving it... ,Hydration ,N/A,Good
Achillea millefolium,None,"Skin-Soothing, Plant Extracts ",N/A,Poor
